Timestamp,How old are you?,Industry,Functional area of job,Job title,Job title - additional context,Annual salary (gross),Additional monetary compensation,Currency,Currency - other,Income - additional context,Country,State,City,Remote or on-site?,"Years of experience, overall",Years of experience in field,Highest level of education completed,Gender,Race
4/11/2023 11:06:27,35-44,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Librarian and Information Specialist,,87000,200,USD,,,United States,Maryland,Rocvkille,Hybrid,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:06:27,25-34,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Academic Librarian,,40000,,USD,,,United States,Texas,Mid-size TX city,On-site,8-10 years,2-4 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, Middle Eastern or Northern African, White"
4/11/2023 11:06:28,35-44,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Librarian,,530000,,Other,NOK,,Norway,,Nordland,On-site,21-30 years,11-20 years,College degree,Woman,White
4/11/2023 11:06:31,45-54,Utilities & Telecommunications,Computing or Tech,Sr Lead Process Analyst,,117000,,USD,,,United States,Ohio,Columbus,Fully remote,21-30 years,21-30 years,College degree,Woman,Asian or Asian American
4/11/2023 11:06:31,25-34,Political Data,client support,Account Specialist,,61000,500,USD,,,United States,"Colorado, District of Columbia",Denver,Fully remote,5-7 years,2-4 years,College degree,Woman,White
4/11/2023 11:06:32,25-34,Nonprofits,Data Analytics,QI & Planning Manager,,75000,0,USD,,,United States,New Jersey,Newark,Hybrid,5-7 years,5-7 years,Master's degree,Woman,White
4/11/2023 11:06:34,25-34,Education (Higher Education),"Galleries, Libraries, Archives & Museums",Project Manager (Project Archivist),,74525,7452,USD,,"my employer contributes 10 percent of my salary to my 403b wether I contribute or not ( 10 percent is extra, not deducted from my salary)",United States,New York,New York CIty,Hybrid,8-10 years,8-10 years,Master's degree,Woman,White
4/11/2023 11:06:34,25-34,Media & Digital,Computing or Tech,Senior Data Analyst,,150000,15000,USD,,,United States,Utah,Salt Lake City,Fully remote,5-7 years,5-7 years,College degree,Man,White
4/11/2023 11:06:37,35-44,Cannabis,"Marketing, Advertising & PR",Content Strategist,,81500,,USD,,,United States,Colorado,Denver,Fully remote,11-20 years,2-4 years,College degree,Man,White
4/11/2023 11:06:37,35-44,Education (Primary/Secondary),Education (Primary/Secondary),Teacher,,60000,0,USD,,,United States,Michigan,Portage,On-site,11-20 years,11-20 years,Master's degree,Man,White
4/11/2023 11:06:39,18-24,Science,Science,Research Coordinator,,28720,0,GBP,,,United Kingdom,,Newcastle Upon Tyne,Hybrid,1 year or less,1 year or less,Master's degree,Woman,White
4/11/2023 11:06:40,35-44,Education (Higher Education),Education (Higher Education),Assistant Professor of Economics,,100000,,USD,,,United States,North Carolina,Charlotte,On-site,5-7 years,2-4 years,PhD,Woman,White
4/11/2023 11:06:41,25-34,Education (Primary/Secondary),Nonprofits,Chief of Staff,,158000,14000,USD,,,United States,Michigan,Ann Arbor,Fully remote,11-20 years,11-20 years,Master's degree,Woman,Middle Eastern or Northern African
4/11/2023 11:06:42,25-34,Government & Public Administration,Recruitment or HR,Labor Relations Manager,,110000,0,USD,,,United States,Nevada,Reno,Hybrid,11-20 years,8-10 years,Master's degree,Man,White
4/11/2023 11:06:43,35-44,Health care,Administration,Executive Assistant,,60000,,CAD,,,Canada,,Ottawa,Hybrid,11-20 years,11-20 years,College degree,Woman,White
4/11/2023 11:06:43,25-34,Business or Consulting,Government & Public Administration,Associate consultant,,85000,5000,USD,,,United States,District of Columbia,DC,Fully remote,5-7 years,1 year or less,Master's degree,Woman,Another option not listed here or prefer not to answer
4/11/2023 11:06:43,45-54,FDA,Science,Biologist,I pharmaceutical company applications for sterile injectable drugs,124000,0,USD,,,United States,Maryland,Rockville,Fully remote,8-10 years,5-7 years,PhD,Woman,White
4/11/2023 11:06:54,35-44,Government & Public Administration,Law,General Counsel for government agency ,,90000,,USD,,,United States,Kentucky,Lexington ,On-site,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",,White
4/11/2023 11:06:52,25-34,Nonprofits,Nonprofits,Community Education and Outreach Manager,,62400,0,USD,,,United States,Minnesota,Saint Paul,Hybrid,2-4 years,2-4 years,College degree,Woman,White
4/11/2023 11:06:52,45-54,Engineering or Manufacturing,Quality Control,Lead Quality Tech,,41600,12000,USD,,,United States,New York,Buffalo,On-site,21-30 years,11-20 years,Master's degree,Man,White
4/11/2023 11:06:52,35-44,Utilities & Telecommunications,Administration,Administrative Assistant,,41204,200,USD,,,United States,Ohio,Tallmadge,Hybrid,11-20 years,11-20 years,College degree,Woman,White
4/11/2023 11:06:54,25-34,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Electronic Resources Librarian,,62500,,USD,,,United States,Maryland,Baltimore,On-site,5-7 years,5-7 years,Master's degree,Woman,White
4/11/2023 11:06:54,35-44,Government Defense Contractor,Procurement,Sr. Subcontracts Administrator,,112532,3500,USD,,,United States,Maryland,Laurel,Fully remote,11-20 years,11-20 years,College degree,,White
4/11/2023 11:06:55,45-54,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Desk clerk,public library,42016,0,CAD,,,Canada,,Winkler,On-site,21-30 years,21-30 years,College degree,Woman,White
4/11/2023 11:06:56,35-44,Education (Higher Education),Education (Higher Education),Visiting Assistant Professor,"Humanities (English), Atlanta GA do HCOL",55000,6000,USD,,I receive an additional 3000 per extra class,United States,Georgia,Atlanta,Hybrid,21-30 years,11-20 years,PhD,Woman,White
4/11/2023 11:06:57,35-44,Education (Higher Education),Education (Higher Education),Associate Director,,150000,,USD,,,United States,Oregon,Portland,Fully remote,11-20 years,11-20 years,Master's degree,Man,White
4/11/2023 11:06:57,35-44,Insurance,"Accounting, Banking & Finance",Insurance Data Analyst,Level II (there are three levels total),68500,0,USD,,,United States,Nebraska,Omaha,Hybrid,11-20 years,1 year or less,Master's degree,Woman,White
4/11/2023 11:06:57,35-44,Architecture,Art & Design,Communications Specialist,,74000,0,USD,,,United States,Oregon,Portland,Hybrid,11-20 years,2-4 years,Master's degree,Woman,White
4/11/2023 11:06:58,35-44,Nonprofits,Computing or Tech,Database Manager,,70000,0,USD,,,United States,Colorado,Denver,Hybrid,11-20 years,5-7 years,College degree,Woman,White
4/11/2023 11:06:58,25-34,"Marketing, Advertising & PR","Marketing, Advertising & PR",Senior Content Writer,,70000,1000,USD,,,United States,Massachusetts,Easthampton,Hybrid,8-10 years,8-10 years,College degree,Man,White
4/11/2023 11:06:58,35-44,Engineering or Manufacturing,Engineering or Manufacturing,Data manager,,85000,0,USD,,,United States,Michigan,Auburn Hills ,Fully remote,11-20 years,11-20 years,College degree,Woman,White
4/11/2023 11:06:59,35-44,Education (Primary/Secondary),Computing or Tech,Programmer Analyst,,83000,,USD,,,United States,Wisconsin,Madison,Fully remote,11-20 years,11-20 years,College degree,Man,White
4/11/2023 11:07:01,25-34,Government & Public Administration,Government & Public Administration,Division Chief,,86754,0,USD,,,United States,Maryland,Baltimore,Hybrid,8-10 years,5-7 years,Master's degree,Woman,White
4/11/2023 11:07:04,35-44,Biotechnology & Pharma,Computing or Tech,Principal Data Scientist,,155000,31000,USD,,,United States,Massachusetts,"Cambridge, MA",Hybrid,11-20 years,8-10 years,PhD,Woman,White
4/11/2023 11:07:06,25-34,Nonprofits,Nonprofits,Salesforce Business Analyst,,112000,,USD,,"Currently hourly/working contract, so eligible for overtime but no PTO. Will convert to full-time in ~4 months and will negotiate for $100k + PTO/benefits.",United States,Georgia,Augusta,Fully remote,2-4 years,2-4 years,College degree,Woman,White
4/11/2023 11:07:08,35-44,Government & Public Administration,"Galleries, Libraries, Archives & Museums",Executive Director,Executive Director of a public library,68000,0,USD,,,United States,Kansas,Newton,On-site,8-10 years,5-7 years,PhD,Woman,White
4/11/2023 11:07:08,35-44,Computing or Tech,"Marketing, Advertising & PR",Senior Email Developer,,98640,,USD,,,United States,Connecticut,Remote worker,Fully remote,11-20 years,5-7 years,College degree,Woman,White
4/11/2023 11:07:12,25-34,Automotive,"Marketing, Advertising & PR",Internet Marketing Admin,,62000,0,CAD,,,Canada,,Red Deer,On-site,11-20 years,5-7 years,College degree,Man,White
4/11/2023 11:07:10,35-44,Art & Design,"Galleries, Libraries, Archives & Museums",Editor,,60000,,USD,,,United States,Colorado,Denver,Hybrid,11-20 years,8-10 years,Master's degree,Woman,White
4/11/2023 11:07:12,35-44,Transport or Logistics,Transport or Logistics,Dispatch,,52000,4000,USD,,,United States,Colorado,Denver,On-site,11-20 years,8-10 years,Some college,Woman,White
4/11/2023 11:07:12,25-34,Education (Higher Education),Education (Higher Education),Director of Career Services,,65125,0,USD,,,United States,Maine,Portland,On-site,5-7 years,5-7 years,Master's degree,Woman,White
4/11/2023 11:07:12,45-54,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Library Specialist,Paraprofessional - no MLS degree,32000,0,USD,,,United States,Florida,Boca Raton,On-site,31-40 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:07:13,35-44,Media & Digital,"Marketing, Advertising & PR",Associate Publicity Director,,99500,3750,USD,,,United States,New York,New York,Other/it's complicated,11-20 years,11-20 years,College degree,Woman,White
4/11/2023 11:07:14,35-44,Health care,"Marketing, Advertising & PR",Content & Editorial Specialist,,58000,0,USD,,,United States,South Carolina,Greenville,On-site,11-20 years,8-10 years,College degree,Woman,White
4/11/2023 11:07:14,35-44,Government & Public Administration,Government & Public Administration,Supervisory Management and Program Analyst,,154000,,USD,,,United States,District of Columbia,DC,Hybrid,11-20 years,11-20 years,PhD,Woman,White
4/11/2023 11:07:14,35-44,Law,Administration,IP Paralegal,,102000,5000,USD,,,United States,Pennsylvania,Philadelphia,Fully remote,21-30 years,21-30 years,College degree,Woman,White
4/11/2023 11:07:16,45-54,Education (Higher Education),Education (Higher Education),Program Chair,,60000,,USD,,,United States,Indiana,South Bend,On-site,21-30 years,21-30 years,PhD,Woman,White
4/11/2023 11:07:16,35-44,Computing or Tech,"Marketing, Advertising & PR",Content Marketer,,80000,0,USD,,,United States,Kentucky,Louisville,Fully remote,8-10 years,5-7 years,College degree,Woman,White
4/11/2023 11:07:18,25-34,Utilities & Telecommunications,Computing or Tech,BI Analyst,,80000,30000,CAD,,,Canada,,BC,Fully remote,5-7 years,5-7 years,Master's degree,,Asian or Asian American
4/11/2023 11:07:19,45-54,Engineering or Manufacturing,Computing or Tech,IT Manager,,42000,,GBP,,,United Kingdom,,Swindon,On-site,21-30 years,21-30 years,PhD,Woman,"Hispanic, Latino, or Spanish origin, Middle Eastern or Northern African"
4/11/2023 11:07:21,25-34,Government & Public Administration,Science,Meteorologist ,Air quality based,46600,,USD,,,United States,Florida,Tallahassee ,On-site,1 year or less,1 year or less,Master's degree,Man,White
4/11/2023 11:07:23,25-34,Education (Higher Education),Education (Higher Education),Assistant Professor of Psychology,"Assistant professor = tenure-track, but not tenured",54600,0,USD,,,United States,New York,Elmira,On-site,5-7 years,5-7 years,PhD,Other or prefer not to answer,White
4/11/2023 11:07:23,25-34,Education (Primary/Secondary),Education (Primary/Secondary),Teacher,,60000,,USD,,,United States,Massachusetts,Boston,,5-7 years,5-7 years,Master's degree,Woman,"White, Another option not listed here or prefer not to answer"
4/11/2023 11:07:24,35-44,Automotive parts distribution ,Transport or Logistics,Distribution Center Manager ,,92000,18000,USD,,,United States,Missouri,Kansas City ,On-site,21-30 years,11-20 years,High School,Woman,White
4/11/2023 11:07:24,35-44,Engineering or Manufacturing,Administration,Customer Ser4vice Coordinator,"Customers are companies or distribution centers, not consumers",56000,0,USD,,,United States,Massachusetts,Brockton,On-site,11-20 years,2-4 years,College degree,Woman,White
4/11/2023 11:07:25,35-44,"Marketing, Advertising & PR",Computing or Tech,Director of Product,,110000,,USD,,,United States,Illinois,Chicago,Fully remote,11-20 years,5-7 years,College degree,Woman,White
4/11/2023 11:07:27,35-44,Media & Digital,Media & Digital,Editor,,120000,15000,USD,,,United States,Virginia,"Metro Washington, D.C.",Fully remote,21-30 years,11-20 years,Master's degree,Woman,White
4/11/2023 11:07:29,35-44,Computing or Tech,Engineering or Manufacturing,Senior Android Engineer,,180000,0,USD,,,United States,Rhode Island,Providence RI,Fully remote,11-20 years,5-7 years,College degree,Woman,White
4/11/2023 11:07:29,45-54,Property or Construction,"Accounting, Banking & Finance",Operations Controller ,,125000,14000,USD,,,United States,Washington,Issaquah,Hybrid,31-40 years,21-30 years,Some college,Woman,White
4/11/2023 11:07:30,35-44,Media & Digital,Publishing,Editor,,50000,1000,EUR,,,France,,Paris,On-site,11-20 years,2-4 years,Master's degree,Woman,White
4/11/2023 11:07:30,35-44,Education (Higher Education),Communications,Communications Specialist,Draft and coordinate communications for a high-level university administrator.,77004,0,USD,,,United States,Michigan,Ann Arbor,On-site,11-20 years,2-4 years,Master's degree,Woman,White
4/11/2023 11:07:31,25-34,"Galleries, Libraries, Archives & Museums",Administration,"Department coordinator, Exhibitions ",Every department at the arts center has a coordinator for a combo of admin and project management,45000,,USD,,,United States,Ohio,Columbus ,Hybrid,5-7 years,5-7 years,Master's degree,Woman,White
4/11/2023 11:07:33,25-34,Insurance,Art & Design,Senior Creative Designer,,110000,,USD,,,United States,Pennsylvania,Media,Fully remote,11-20 years,11-20 years,College degree,Woman,White
4/11/2023 11:07:34,35-44,Engineering or Manufacturing,Engineering or Manufacturing,Principal Systems Engineer,,132000,0,USD,,,United States,Iowa,Cedar Rapids,On-site,8-10 years,8-10 years,Master's degree,Woman,White
4/11/2023 11:07:34,35-44,Nonprofits,Law,assistant general counsel,,100000,3000,USD,,,United States,District of Columbia,washington dc,Hybrid,11-20 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White
4/11/2023 11:07:34,25-34,Government & Public Administration,Law,Deputy Attorney General,,101000,,USD,,,United States,New Jersey,Trenton,Hybrid,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
4/11/2023 11:07:36,35-44,Computing or Tech,Engineering or Manufacturing,Senior Software Engineer,,198400,19000,USD,,"We also get stock options, 1 year cliff and then vested quarterly",United States,Massachusetts,Boston (company is based in SF),Fully remote,11-20 years,5-7 years,Master's degree,Woman,White
4/11/2023 11:07:37,45-54,Nonprofits,Administration,Vice President Sponsored Programs,,180000,10000,USD,,,United States,Texas,Dallas,Fully remote,21-30 years,21-30 years,Master's degree,Woman,White
4/11/2023 11:07:37,25-34,Management Services,"Accounting, Banking & Finance",Financial Analyst II,Analyst with direct reports,94000,3000,USD,,,United States,Alaska,Anchorage,Fully remote,2-4 years,2-4 years,College degree,Woman,White
